All Chapters,All Chapters,All Chapters,All Chapters (pdf)
Voting Systems,Voting Systems,Voting Systems,Voting Systems
Squares,Squares,a) Magic Squares,a) Magic Squares
Squares,Squares,b) Latin Squares,b) Latin Squares
Squares,Squares,c) Euler Squares,c) Euler Squares
Knight Tours,Knight Tours,Knight Tours,Knight Tours
Tiling,Tiling,Tiling,Tiling
Triangle Problem,Triangle Problem,Triangle Problem,Triangle Problem
Grid Puzzles,Grid Puzzles,Grid Puzzles,Grid Puzzles
Wason Test,Wason Test,Wason Test,Wason Test
Pigeonhole Principle,Pigeonhole Principle,Pigeonhole Principle,Pigeonhole Principle
Multiples,Multiples,Multiples,Multiples
Paradoxes,Paradoxes,Paradoxes,Paradoxes
Quotes,Quotes,Quotes,Quotes
Heron’s Theorem,Heron’s Theorem,Heron’s Theorem,Heron’s Theorem
Three Games,Three Games,Three Games,Three Games
Möbius Strip,Möbius Strip,Möbius Strip,Möbius Strip
Choosing a Pub,Choosing a Pub,Choosing a Pub,Choosing a Pub
Lewis Carroll,Lewis Carroll,Lewis Carroll,Lewis Carroll
Codes,Codes,a) Error Detecting Codes,a) Error Detecting Codes
Codes,Codes,b) Error Correcting Codes,b) Error Correcting Codes
Rationals and Irrationals,Rationals and Irrationals,Rationals and Irrationals,Rationals and Irrationals
A Nice Proof,A Nice Proof,A Nice Proof,A Nice Proof
A Nice Sum,A Nice Sum,A Nice Sum,A Nice Sum
Logic,Logic,a) Propositions,a) Propositions
Logic,Logic,b) If … Then,b) If … Then
Logic,Logic,c) Arguments with If … Then,c) Arguments with If … Then
Logic,Logic,"d) Arguments with All, None, Some","d) Arguments with All, None, Some"
Logic,Logic,e) Hat Puzzles,e) Hat Puzzles
Switching Circuits,Switching Circuits,Switching Circuits,Switching Circuits
Venn Diagrams,Venn Diagrams,Venn Diagrams,Venn Diagrams
Snowflake Curve,Snowflake Curve,Snowflake Curve,Snowflake Curve
Arrangements and Selections,Arrangements and Selections,Arrangements and Selections,Arrangements and Selections
Proof,Proof,a) Proof by Contradiction,a) Proof by Contradiction
Proof,Proof,b) Proof by Induction,b) Proof by Induction
Proof,Proof,c) Proving The Contrapositive,c) Proving The Contrapositive
Proof,Proof,d) Proof using Selections,d) Proof using Selections
Pascal’s Triangle,Pascal’s Triangle,Pascal’s Triangle,Pascal’s Triangle
How To Tune A Piano,How To Tune A Piano,How To Tune A Piano,How To Tune A Piano
Dodgy Algebra,Dodgy Algebra,Dodgy Algebra,Dodgy Algebra
Graph Theory,Graph Theory,a) Graphs,a) Graphs
Graph Theory,Graph Theory,b) Euler Tours,b) Euler Tours
Graph Theory,Graph Theory,c) Hamilton Tours,c) Hamilton Tours
Graph Theory,Graph Theory,d) Euler’s Formula,d) Euler’s Formula
Graph Theory,Graph Theory,e) Map Colouring,e) Map Colouring
Graph Theory,Graph Theory,f) Tessellations,f) Tessellations
Graph Theory,Graph Theory,g) Polyhedrons,g) Polyhedrons
Graph Theory,Graph Theory,h) Points and Regions,h) Points and Regions
Graph Theory,Graph Theory,i) Sprouts,i) Sprouts
Probability Theory,Probability Theory,a) Dodgy Probability,a) Dodgy Probability
Probability Theory,Probability Theory,b) Probability,b) Probability
Probability Theory,Probability Theory,c) Probability Fallacies,c) Probability Fallacies
Probability Theory,Probability Theory,d) Probability Paradoxes,d) Probability Paradoxes
Probability Theory,Probability Theory,e) Coins,e) Coins
Probability Theory,Probability Theory,f) Tennis,f) Tennis
Probability Theory,Probability Theory,g) Collecting Cards,g) Collecting Cards
Probability Theory,Probability Theory,h) Party Game,h) Party Game
Number Theory,Number Theory,a) Fundamental Theorem of Arithmetic,a) Fundamental Theorem of Arithmetic
Number Theory,Number Theory,b) Euclid’s Algorithm,b) Euclid’s Algorithm
Number Theory,Number Theory,c) Prime Numbers,c) Prime Numbers
Number Theory,Number Theory,d) Modulo Arithmetic,d) Modulo Arithmetic
Number Theory,Number Theory,e) Chinese Remainder Theorem,e) Chinese Remainder Theorem
Number Theory,Number Theory,f) Fermat’s Last Theorem,f) Fermat’s Last Theorem
Number Theory,Number Theory,g) Fermat’s Little Theorem,g) Fermat’s Little Theorem
Number Theory,Number Theory,h) Card Shuffles,h) Card Shuffles
Number Theory,Number Theory,i) Casting Out Nines,i) Casting Out Nines
Number Theory,Number Theory,j) Perfect Numbers,j) Perfect Numbers
Number Theory,Number Theory,k) Sums of Squares,k) Sums of Squares
Recurrence Relations,Recurrence Relations,a) Recurrence relations,a) Recurrence relations
Recurrence Relations,Recurrence Relations,b) Cutting a Pizza,b) Cutting a Pizza
Recurrence Relations,Recurrence Relations,c) Tower of Hanoi,c) Tower of Hanoi
Recurrence Relations,Recurrence Relations,d) Derangements,d) Derangements
Recurrence Relations,Recurrence Relations,e) Fibonacci Numbers,e) Fibonacci Numbers
Recurrence Relations,Recurrence Relations,f) Polygonal Numbers,f) Polygonal Numbers
Recurrence Relations,Recurrence Relations,g) A Nice Integral,g) A Nice Integral
Group Theory,Group Theory,a) Groups,a) Groups
Group Theory,Group Theory,b) Group Theorems,b) Group Theorems
Group Theory,Group Theory,c) Symmetries of a Rectangle,c) Symmetries of a Rectangle
Group Theory,Group Theory,d) Symmetries of a Triangle,d) Symmetries of a Triangle
Group Theory,Group Theory,e) Rearrangements,e) Rearrangements
Group Theory,Group Theory,f) Friezes,f) Friezes
Encryption,Encryption,Encryption,Encryption
e,e,e,e
pi,pi,pi,pi
Dodgy Integrals,Dodgy Integrals,Dodgy Integrals,Dodgy Integrals
Lanchester’s Model,Lanchester’s Model,Lanchester’s Model,Lanchester’s Model
Paint Pot,Paint Pot,Paint Pot,Paint Pot
Infinite Series,Infinite Series,Infinite Series,Infinite Series
Maclaurin Series,Maclaurin Series,Maclaurin Series,Maclaurin Series
Complex Numbers,Complex Numbers,a) Complex Numbers,a) Complex Numbers
Complex Numbers,Complex Numbers,b) Euler’s Identity,b) Euler’s Identity
Complex Numbers,Complex Numbers,c) Using Complex Numbers,c) Using Complex Numbers
Complex Numbers,Complex Numbers,d) Julia Sets,d) Julia Sets
Infinite Numbers,Infinite Numbers,Infinite Numbers,Infinite Numbers
Appendix 1,Appendix 1,Appendix 1,Short Programs
Appendix 2,Appendix 2,Appendix 2,"Sequences, Logarithms"
Appendix 3,Appendix 3,Appendix 3,Resources
Appendix 4,Appendix 4,a) Euler’s Sine Formula,a) Euler’s Sine Formula
Appendix 4,Appendix 4,b) Euler’s Zeta Function,b) Euler’s Zeta Function
Appendix 4,Appendix 4,c) Euler’s Prime Sum,c) Euler’s Prime Sum
Appendix 4,Appendix 4,d) Euler’s Constant,d) Euler’s Constant
